strategy_name,ma_short,ma_long,stoploss,sharpe_ratio,sortino_ratio,max_drawdown,Final_Return,Total_Trades,Average_Trades_PL
7_31_1,7,31,1.0,-0.0018243136841590787,-0.0026165716241101982,0.44554953763370175,-0.17028181463253134,625,-7.777194154023605e-06
7_32_0.005,7,32,0.005,0.015132692230348518,0.02220660819943178,0.1651678407677707,0.7211471605909567,861,6.967701623559969e-05
7_32_0.01,7,32,0.01,0.0076754335916101556,0.01106945301388437,0.16864847183895604,0.320014564607497,739,3.199795930813421e-05
7_32_0.02,7,32,0.02,-0.00207535382931929,-0.0029324571650210093,0.3135922140383878,-0.18019757648414558,636,-1.0755834454724812e-05
7_32_0.03,7,32,0.03,-0.0018793152098395699,-0.0026511299510834415,0.41384149900149036,-0.1651395139905858,609,-1.5490195170534745e-05
7_32_0.04,7,32,0.04,-0.0007881618010843609,-0.0010970938076317245,0.37313801454980267,-0.1195385189238296,603,-5.405152292701794e-06
7_32_0.05,7,32,0.05,-0.003040404237635119,-0.004233837092871648,0.3932001598651639,-0.20902773443793055,600,-1.6939459984512192e-05
7_32_1,7,32,1.0,-0.0008054602302698236,-0.0011547389070502801,0.41174736899380204,-0.11525851271191923,599,-3.6232415654961773e-06
7_33_0.005,7,33,0.005,0.014756832163585329,0.021556193513669594,0.16666115793173275,0.6845133918917283,833,6.503647627724459e-05
7_33_0.01,7,33,0.01,0.0067896517281815436,0.009781082232830664,0.20016274562784697,0.2719474991981121,723,2.5617243960711396e-05
7_33_0.02,7,33,0.02,-0.0006539513796577046,-0.0009250379532417889,0.4187145783621754,-0.14945869297342917,619,-6.7263209241024295e-06
7_33_0.03,7,33,0.03,-0.002380729866154241,-0.0033512525654813287,0.45002641167215196,-0.19296686932782214,589,-1.888796237999113e-05
7_33_0.04,7,33,0.04,-0.0018284132688977483,-0.002538791557706264,0.4338691337215079,-0.17467212579408697,583,-1.1063152870587317e-05
7_33_0.05,7,33,0.05,-0.004162053224750031,-0.00578306821726863,0.4550375409778278,-0.2641613413081877,580,-2.278267811422113e-05
7_33_1,7,33,1.0,-0.0018749565997250395,-0.0026830419188735633,0.46580101839716204,-0.17039211958217604,579,-9.378767727324195e-06
7_34_0.005,7,34,0.005,0.015041042113068224,0.02203194676733503,0.1697059846336011,0.7175905305232693,839,6.847215592956045e-05
7_34_0.01,7,34,0.01,0.004212906589808494,0.006047358289993625,0.3100902385048745,0.13377744186046536,722,1.896174456352849e-05
7_34_0.02,7,34,0.02,0.0013284518237966659,0.00188700724363816,0.27062630255692743,-0.023302805232558232,613,-1.537394513443685e-06
7_34_0.03,7,34,0.03,-0.001966262618066358,-0.0027766974166324957,0.4248887625559731,-0.1845141933139538,589,-1.5284714477150777e-05
7_34_0.04,7,34,0.04,-0.0001808410310924905,-0.00025387124528247426,0.34606677328465396,-0.0971529069767445,581,-6.763675740848054e-06
7_34_0.05,7,34,0.05,-0.005350015762216219,-0.007425106887245117,0.47233656662542256,-0.31994898255813964,578,-2.7984084866206827e-05
7_34_1,7,34,1.0,-0.0029489653615936183,-0.004215571915488698,0.48779433875537637,-0.22604360465116324,577,-1.4829044807701552e-05
7_35_0.005,7,35,0.005,0.014405941784096082,0.021103754180173726,0.1765137757120362,0.6802328075066912,827,6.562935277276631e-05
7_35_0.01,7,35,0.01,0.002672066126034313,0.0038351683257540057,0.2950658827094812,0.044900073523521655,716,9.896694541242857e-06
7_35_0.02,7,35,0.02,-0.0015374370059540144,-0.002182772360029801,0.41572527570198914,-0.19226420423524648,605,-1.4751245703721071e-05
7_35_0.03,7,35,0.03,0.00014451003553346843,0.00020583419780759816,0.32488880740154125,-0.08932427513812946,573,-8.451971608841833e-06
7_35_0.04,7,35,0.04,0.0004028110319466023,0.0005701249524048221,0.30693427592761013,-0.07643118270959692,565,-7.37060526120796e-06
7_35_0.05,7,35,0.05,-0.0002858893207191446,-0.00040429064588436213,0.2483102356713589,-0.10531262056765966,562,-1.319990356484587e-05
7_35_1,7,35,1.0,-0.0002858893207191446,-0.00040429064588436213,0.2483102356713589,-0.10531262056765966,562,-1.319990356484587e-05
8_25_0.005,8,25,0.005,0.022322504770424793,0.032958379067462365,0.09890965166595378,1.0102993640346862,939,9.341019160581645e-05
8_25_0.01,8,25,0.01,0.008977286905962644,0.012876290929465403,0.2613446807248845,0.40452456765452105,819,4.653873227544668e-05
8_25_0.02,8,25,0.02,0.00562754182526352,0.00797791641818626,0.24899265948100135,0.2072359857822692,711,2.7748748195900335e-05
8_25_0.03,8,25,0.03,-0.0010015761762491144,-0.0014271322627434284,0.2646351320919458,-0.12046842289532878,678,-8.477152696098208e-06
8_25_0.04,8,25,0.04,-0.0045350338678749515,-0.006451966098586943,0.3788125500872477,-0.25122802973217173,666,-1.5111319668068864e-05
8_25_0.05,8,25,0.05,0.0008119168058812908,0.0011792403171842565,0.4315712267397023,-0.0402902906508491,665,7.757284394332135e-06
8_25_1,8,25,1.0,0.0008119168058812908,0.0011792403171842565,0.4315712267397023,-0.0402902906508491,665,7.757284394332135e-06
8_26_0.005,8,26,0.005,0.020753820078205375,0.030575719190368427,0.10358713997556823,0.971631656636367,913,9.13177455741104e-05
8_26_0.01,8,26,0.01,0.009012745866809078,0.01288858404179088,0.2441869544566554,0.39949941143671275,795,4.711859028268786e-05
8_26_0.02,8,26,0.02,0.008061188134025442,0.011490136901671274,0.24733527949088785,0.3289028949821555,695,3.419065810472588e-05
8_26_0.03,8,26,0.03,-0.00012116641499799326,-0.00017194332860746446,0.42671168967378714,-0.10102133379822786,659,-1.1544041901223699e-06
8_26_0.04,8,26,0.04,0.00013104263484614576,0.00018862056638303237,0.4088057376417049,-0.06964713577873971,647,3.387614081680339e-06
8_26_0.05,8,26,0.05,0.00013104263484614576,0.00018862056638303237,0.4088057376417049,-0.06964713577873971,647,3.387614081680339e-06
8_26_1,8,26,1.0,0.00013104263484614576,0.00018862056638303237,0.4088057376417049,-0.06964713577873971,647,3.387614081680339e-06
8_27_0.005,8,27,0.005,0.022130876589816655,0.03281425954781694,0.11740398314514322,1.0393017096430848,893,9.726663497597526e-05
8_27_0.01,8,27,0.01,0.007986326328593068,0.01149364925360483,0.312946501031766,0.36528783410151777,785,4.667900425078001e-05
8_27_0.02,8,27,0.02,0.006331110245726376,0.00899616916086833,0.2734693193698542,0.23828976620278008,689,2.6359670927260302e-05
8_27_0.03,8,27,0.03,-0.0019904590370586747,-0.0027700922382053786,0.4973958985770096,-0.20201613542286356,651,-7.838169053485247e-06
8_27_0.04,8,27,0.04,-0.005517967107145183,-0.00779533505829968,0.383789585177431,-0.2930022490753704,642,-2.0360866383360238e-05
8_27_0.05,8,27,0.05,-7.727172974337719e-05,-0.00011118492749071235,0.40637923744918325,-0.08133627638989371,641,2.292026518403597e-06
8_27_1,8,27,1.0,-7.727172974337719e-05,-0.00011118492749071235,0.40637923744918325,-0.08133627638989371,641,2.292026518403597e-06
8_28_0.005,8,28,0.005,0.018964819867572678,0.027880915000916988,0.12903984323304873,0.8831992268713482,875,8.382465052660549e-05
8_28_0.01,8,28,0.01,0.010794711419094535,0.015583701341273862,0.23108496338591633,0.5158656706956004,755,5.67406264171799e-05
8_28_0.02,8,28,0.02,0.0034769131829215944,0.004948770256210424,0.3302140361569187,0.0911607303659745,659,1.7635382464748758e-05
8_28_0.03,8,28,0.03,-0.0007327408804884367,-0.0010135474493696518,0.4391293428081138,-0.13408344055222732,623,-1.8104425246643707e-06
8_28_0.04,8,28,0.04,-0.005188699486097646,-0.007333606446042698,0.3836312853725492,-0.2874185484602978,614,-1.862093301165717e-05
8_28_0.05,8,28,0.05,-0.0021751441388538338,-0.0030347516382191408,0.4354164401964744,-0.17730436574201447,612,-1.013643219626997e-05
8_28_1,8,28,1.0,-7.127571336910696e-05,-0.00010235496794595245,0.4149239719928889,-0.08421929997709099,611,3.5036874042551425e-06
8_29_0.005,8,29,0.005,0.015820051413849436,0.023176753085861847,0.15370870694173067,0.7322426566464535,885,7.162865342521906e-05
8_29_0.01,8,29,0.01,0.010021413495548236,0.014469057103703442,0.23951520054697584,0.4734436931517747,745,5.21391317679918e-05
8_29_0.02,8,29,0.02,-0.0004463813439252481,-0.0006310504174679745,0.33721210760462017,-0.1168047857327078,652,2.2599598977924714e-06
8_29_0.03,8,29,0.03,-0.000515804574035906,-0.000715365647682651,0.4155217566793803,-0.11787474624061467,617,-6.416043167263355e-07
8_29_0.04,8,29,0.04,-0.0073051845882989045,-0.0101405066672533,0.45915646599061855,-0.3770010215210998,612,-2.7742846405775234e-05
8_29_0.05,8,29,0.05,-0.003071958853962929,-0.004286680931238131,0.4327905557832684,-0.2133789007626099,610,-1.3605236692307766e-05
8_29_1,8,29,1.0,-0.000864431594597396,-0.0012421846407030441,0.42812676977374986,-0.12029383499768642,609,-2.1981181866222596e-07
8_30_0.005,8,30,0.005,0.01578330567463282,0.023162738799022475,0.1431568254138892,0.7400437856505928,851,7.148056178406416e-05
8_30_0.01,8,30,0.01,0.010173298325675905,0.014656464847315167,0.22768231217374835,0.48996457814348227,727,5.360641271463693e-05
8_30_0.02,8,30,0.02,0.0020415725671023978,0.002894732366897641,0.27380679410248787,0.019050475245042664,632,9.26342843123118e-06
8_30_0.03,8,30,0.03,-0.000320450089757059,-0.0004443565866821867,0.38876458285563353,-0.1055651360179114,599,-9.142631763699386e-07
8_30_0.04,8,30,0.04,-0.007160711026567853,-0.009933827881155918,0.44520931913089923,-0.36728069353934634,594,-2.8364992866097147e-05
8_30_0.05,8,30,0.05,-0.002880403579000212,-0.004018737067235164,0.4084606934835181,-0.20180790504608292,592,-1.4056534463308922e-05
8_30_1,8,30,1.0,-0.0006646680716928496,-0.0009545766228111436,0.42758584532082045,-0.10872283928115956,591,-5.02879202068862e-07
8_31_0.005,8,31,0.005,0.015338141667847235,0.02235606545414216,0.1301755592237559,0.7252926830153057,873,6.780686448102827e-05
8_31_0.01,8,31,0.01,0.006493021282561539,0.009325439462675843,0.25682397967007553,0.26785059901850095,746,3.349080847729471e-05
