,close,holding,cash_flows,trades,stoploss,trades_pl,cum_cash_flow,cash
2018-01-21 22:35:00.000,11292.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:40:00.000,11220.69,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:45:00.000,11220.42,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:50:00.000,11155.01,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:55:00.000,11129.53,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:00:00.000,11259.04,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:05:00.000,11285.01,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:10:00.000,11251.99,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:15:00.000,11343.93,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:20:00.000,11271.44,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:25:00.000,11271.75,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:30:00.000,11397.949999999999,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:35:00.000,11335.98,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:40:00.000,11331.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:45:00.000,11408.91,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:50:00.000,11380.02,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 23:55:00.000,11530.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:00:00.000,11520.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:05:00.000,11649.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:10:00.000,11642.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:15:00.000,11630.99,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:20:00.000,11530.05,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:25:00.000,11475.18,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:30:00.000,11536.16,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:35:00.000,11599.91,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:40:00.000,11595.130000000001,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:45:00.000,11618.29,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:50:00.000,11739.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 00:55:00.000,11750.11,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 01:00:00.000,11648.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
